"childid","catholic","race","race_white","race_black","race_hispanic","race_asian","p5numpla","p5hmage","p5hdage","w3daded","w3momed","w3daded_hsb","w3momed_hsb","w3momscr","w3dadscr","w3inccat","w3income","w3povrty","p5fstamp","c5r2mtsc","c5r2mtsc_std"
"0085006C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,44,34,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,34.95,"$50,001 TO $75,000",62500.5,0,0,35.858,-1.50793152645441
"0085007C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,38,39,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,53.5,NA,"$200,001 TO $200,001",200001,0,0,52.421,0.197119132675959
"0085008C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,44,44,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,34.95,35.78,"$75,001 TO $100,000",87500.5,0,0,62.048,1.18815473585461
"0085010C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,39,39,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","MASTER'S DEGREE (MA, MS)",0,0,63.43,35.78,"$100,001 TO $200,000",150000.5,0,0,46.944,-0.366701579758807
"0085012C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,38,45,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,63.43,63.43,"$100,001 TO $200,000",150000.5,0,0,58.256,0.797793563396584
"0085013C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.345,0.498125479792858
"0085015C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,42,51,"VOC/TECH PROGRAM","SOME COLLEGE",1,0,NA,29.6,"$30,001 TO $35,000",32500.5,0,0,61.829,1.165610142825
"0085016C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,38,39,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,53.5,35.78,"$100,001 TO $200,000",150000.5,0,0,52.635,0.21914900896974
"0085017C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,45,46,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,53.5,39.2,"$100,001 TO $200,000",150000.5,0,0,62.447,1.22922913137433
"0085018C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,45,48,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,62.87,53.5,"$200,001 TO $200,001",200001,0,0,60.94,1.07409350719335
"0085019C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,39,41,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,53.5,53.5,"$75,001 TO $100,000",87500.5,0,0,51.104,0.0615427444567535
"0085020C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,42,46,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,38.18,33.42,"$50,001 TO $75,000",62500.5,0,0,45.96,-0.467997833371334
"0085021C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,43,44,"MASTER'S DEGREE (MA, MS)","SOME COLLEGE",0,0,NA,34.95,"$75,001 TO $100,000",87500.5,0,0,57.803,0.751160227129841
"0085022C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,40,39,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","BACHELOR'S DEGREE",0,0,61.56,35.78,"$75,001 TO $100,000",87500.5,0,0,60.386,1.01706289286272
"0085023C",1,"WHITE, NON-HISPANIC",1,0,0,0,2,34,35,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,NA,34.95,"$75,001 TO $100,000",87500.5,0,0,43.846,-0.6856200692828
"0085024C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,44,43,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,38.18,48.69,"$75,001 TO $100,000",87500.5,0,0,60.479,1.02663662414927
"0086003C",0,"ASIAN",0,0,0,1,2,38,41,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,NA,35.78,"$50,001 TO $75,000",62500.5,0,0,68.117,1.81291790981236
"0089003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,42,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,38.18,"$50,001 TO $75,000",62500.5,0,0,57.984,0.769792972967105
"0089004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,48,48,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,34.95,39.2,"$100,001 TO $200,000",150000.5,0,0,51.895,0.142970932066011
"0089006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,39,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,53.5,53.5,"$75,001 TO $100,000",87500.5,0,0,57.582,0.728409747405889
"0089007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,38.18,NA,"$35,001 TO $40,000",37500.5,0,0,60.481,1.02684251084361
"0089008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,48,47,"MASTER'S DEGREE (MA, MS)","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,63.43,53.5,"$75,001 TO $100,000",87500.5,0,0,43.732,-0.697355610859861
"0089009C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,33,42,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,39.2,"$15,001 TO $20,000",17500.5,1,0,38.785,-1.20661634929601
"0089010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,48,56,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,38.18,NA,"$75,001 TO $100,000",87500.5,0,0,57.386,0.708232851361118
"0089011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,42,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,48.69,"$100,001 TO $200,000",150000.5,0,0,54.792,0.441197808809395
"0089012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,46,"DOCTORATE OR PROFESSIONAL DEGREE","BACHELOR'S DEGREE",0,0,61.56,35.78,"$100,001 TO $200,000",150000.5,0,0,57.605,0.730777444390735
"0089013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,42,"BACHELOR'S DEGREE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,38.18,33.42,"$75,001 TO $100,000",87500.5,0,0,44.449,-0.623545230940977
"0089015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,48,47,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,63.43,34.95,"$100,001 TO $200,000",150000.5,0,0,60.757,1.05525487466176
"0089016C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,NA,44,"BACHELOR'S DEGREE","NOT APPLICABLE",0,NA,NA,35.78,"$75,001 TO $100,000",87500.5,0,0,53.228,0.280194413839891
"0089017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,35.78,NA,"$30,001 TO $35,000",32500.5,0,0,49.327,-0.121387583459365
"0089018C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,38,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,64.89,NA,"$50,001 TO $75,000",62500.5,0,0,62.722,1.25753855184531
"0089019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,45,"SOME COLLEGE","NOT APPLICABLE",0,NA,NA,29.6,"$40,001 TO $50,000",45000.5,0,0,52.189,0.173236276133168
"0089021C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,34,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,63.43,"$200,001 TO $200,001",200001,0,0,43.64,-0.706826398799243
"0091018C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,46,39,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,53.5,48.69,"$100,001 TO $200,000",150000.5,0,0,56.537,0.620833949616163
"0093003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,46,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,NA,53.5,"$200,001 TO $200,001",200001,0,0,71.962,2.20873507967026
"0093004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,50,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,NA,53.5,"$75,001 TO $100,000",87500.5,0,0,63.106,1.29706879715751
"0093005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,45,"SOME COLLEGE","SOME COLLEGE",0,0,34.95,35.78,"$75,001 TO $100,000",87500.5,0,0,39.824,-1.09965821158929
"0093007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,40,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,38.18,35.78,"$100,001 TO $200,000",150000.5,0,0,53.265,0.284003317685078
"0093009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,43,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,NA,53.5,"$200,001 TO $200,001",200001,0,0,45.367,-0.529043238241485
"0093010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,38,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,34.95,35.78,"$75,001 TO $100,000",87500.5,0,0,47.827,-0.275802604210168
"0093011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,40,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,53.5,35.78,"$100,001 TO $200,000",150000.5,0,0,50.958,0.0465130157703419
"0093012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,44,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,NA,53.5,"$200,001 TO $200,001",200001,0,0,63.448,1.3322754218887
"0093013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,43,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,38.18,35.92,"$50,001 TO $75,000",62500.5,0,0,51.521,0.104470120225477
"0093016C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.659,-0.704870475203067
"0093017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,40,"DOCTORATE OR PROFESSIONAL DEGREE","SOME COLLEGE",0,0,NA,59,"$100,001 TO $200,000",150000.5,0,0,55.427,0.506566834260569
"0093018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,40,"VOC/TECH PROGRAM","MASTER'S DEGREE (MA, MS)",1,0,61.56,39.18,"$75,001 TO $100,000",87500.5,0,0,65.403,1.53352966560058
"0093019C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,36,36,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,NA,39.18,"$75,001 TO $100,000",87500.5,0,0,48.597,-0.196536226891422
"0093020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,41,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,39.2,"$50,001 TO $75,000",62500.5,0,0,54.586,0.419991479292951
"0093021C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,42,44,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,53.5,53.5,"$200,001 TO $200,001",200001,0,0,43.264,-0.745533097334111
"0093023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,38,"HIGH SCHOOL DIPLOMA/EQUIVALENT","DOCTORATE OR PROFESSIONAL DEGREE",1,0,63.43,39.18,"$75,001 TO $100,000",87500.5,0,0,43.857,-0.684487692463961
"0093024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,45,"HIGH SCHOOL DIPLOMA/EQUIVALENT","BACHELOR'S DEGREE",1,0,48.69,35.78,"$100,001 TO $200,000",150000.5,0,0,43.31,-0.74079770336442
"0095003C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,38,NA,"NOT APPLICABLE","DOCTORATE OR PROFESSIONAL DEGREE",NA,0,57.83,NA,"$75,001 TO $100,000",87500.5,0,0,61.844,1.1671542930325
"0095004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,39,"DOCTORATE OR PROFESSIONAL DEGREE","SOME COLLEGE",0,0,38.18,64.89,"$75,001 TO $100,000",87500.5,0,0,49.514,-0.102137177539098
"0095005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,52,"SOME COLLEGE","MASTER'S DEGREE (MA, MS)",0,0,63.43,34.95,"$75,001 TO $100,000",87500.5,0,0,56.545,0.621657496393501
"0095007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,45,46,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.92,35.78,"$50,001 TO $75,000",62500.5,0,0,46.892,-0.372054633811502
"0095008C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,32,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,61.56,NA,"$40,001 TO $50,000",45000.5,0,0,37.698,-1.31851576766676
"0095010C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,39,40,"BACHELOR'S DEGREE","MASTER'S DEGREE (MA, MS)",0,0,63.43,34.95,"$100,001 TO $200,000",150000.5,0,0,60.882,1.06812279305766
"0095012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,44,"BACHELOR'S DEGREE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,NA,53.5,"$50,001 TO $75,000",62500.5,0,0,56.453,0.612186708454118
"0095013C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.69,0.533640934565543
"0095015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,35,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,38.18,39.18,"$50,001 TO $75,000",62500.5,0,0,60.29,1.00718033153467
"0095016C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,40,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,63.43,NA,"$20,001 TO $25,000",22500.5,0,0,54.594,0.420815026070289
"0095017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,49,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,48.69,33.42,"$50,001 TO $75,000",62500.5,0,0,39.626,-1.12004099432839
"0095018C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,46,44,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,NA,62.87,"$50,001 TO $75,000",62500.5,0,0,53.62,0.320548205929434
"0095020C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,45,53,"SOME COLLEGE","SOME COLLEGE",0,0,57.83,35.63,"$50,001 TO $75,000",62500.5,0,0,52.195,0.173853936216171
"0095022C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,42,42,"DOCTORATE OR PROFESSIONAL DEGREE","BACHELOR'S DEGREE",0,0,35.78,39.2,"$40,001 TO $50,000",45000.5,0,0,54.732,0.435021207979363
"0095023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,38,"BACHELOR'S DEGREE","MASTER'S DEGREE (MA, MS)",0,0,NA,53.5,"$100,001 TO $200,000",150000.5,0,0,53.138,0.270929512594843
"0098001C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,37,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,35.78,NA,"$15,001 TO $20,000",17500.5,1,1,49.074,-0.147432250292667
"0098002C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,44,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,34.95,NA,"$15,001 TO $20,000",17500.5,1,1,38.362,-1.25016138514774
"0098003C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,37,37,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,38.18,34.95,"$10,001 TO $15,000",12500.5,1,0,42.353,-0.839314486603432
"0098004C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.431,-1.2430582941932
"0098007C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,2,29,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,33.42,NA,"$5,001 TO $10,000",7500.5,1,1,33.897,-1.70980343024929
"0098016C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,60,NA,"NOT APPLICABLE","VOC/TECH PROGRAM",NA,1,38.18,NA,"$50,001 TO $75,000",62500.5,0,0,31.922,-1.91311654090452
"0098017C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,39,44,"MASTER'S DEGREE (MA, MS)","SOME COLLEGE",0,0,48.69,33.42,"$50,001 TO $75,000",62500.5,0,0,47.672,-0.291758823021085
"0098018C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,31,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,34.95,NA,"$5,001 TO $10,000",7500.5,1,0,46.896,-0.371642860422833
"0098019C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,30,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,34.95,NA,"$5,001 TO $10,000",7500.5,1,1,39.261,-1.15761531604442
"0098024C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,42,62,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,38.18,NA,"$15,001 TO $20,000",17500.5,1,0,41.71,-0.905507058831943
"0099004C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,36,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,33.42,NA,"$15,001 TO $20,000",17500.5,0,0,49.804,-0.072283606860609
"0099008C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,41,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,34.95,NA,"$10,001 TO $15,000",12500.5,1,0,36.246,-1.46798950775354
"0099018C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,31,36,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,35.78,"$40,001 TO $50,000",45000.5,0,0,46.957,-0.365363316245634
"0101003C",0,"ASIAN",0,0,0,1,1,33,37,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","SOME COLLEGE",0,0,NA,35.78,"$15,001 TO $20,000",17500.5,0,0,53.789,0.337945631600692
"0101004C",0,"ASIAN",0,0,0,1,1,40,NA,"BACHELOR'S DEGREE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,NA,48.69,"$200,001 TO $200,001",200001,0,0,65.676,1.56163319937722
"0101005C",0,"ASIAN",0,0,0,1,1,37,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,39.18,"$50,001 TO $75,000",62500.5,0,0,69.567,1.96218576320481
"0101006C",0,"ASIAN",0,0,0,1,1,32,34,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,38.18,35.78,"$25,001 TO $30,000",27500.5,0,0,47.18,-0.342406949827348
"0101007C",0,"ASIAN",0,0,0,1,1,30,45,"MASTER'S DEGREE (MA, MS)","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,37.67,38.18,"$30,001 TO $35,000",32500.5,0,0,49.16,-0.138579122436288
"0101010C",0,"ASIAN",0,0,0,1,1,31,39,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,35.78,"$35,001 TO $40,000",37500.5,0,0,61.958,1.17888983460957
"0101011C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,43,38,"8TH GRADE OR BELOW","9TH - 12TH GRADE",1,1,34.95,37.67,"$20,001 TO $25,000",22500.5,0,1,36.297,-1.46273939704801
"0101014C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,28,31,"9TH - 12TH GRADE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",1,0,53.5,38.18,"$40,001 TO $50,000",45000.5,0,0,52.623,0.217913688803733
"0101016C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,29,35,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,39.2,"$15,001 TO $20,000",17500.5,1,0,66.016,1.59663393741407
"0101022C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,40,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,34.95,NA,"$10,001 TO $15,000",12500.5,1,1,54.363,0.397035112874665
"0101023C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,32,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,NA,NA,"$15,001 TO $20,000",17500.5,1,1,37.242,-1.365457933975
"0102024C",1,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.362,-0.117784566308512
"0103002C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.273,-0.435776565708
"0103005C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,28,29,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,62.87,34.95,"$35,001 TO $40,000",37500.5,0,0,31.778,-1.9279403828966
"0103006C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,40,41,"SOME COLLEGE","SOME COLLEGE",0,0,34.95,39.2,"$30,001 TO $35,000",32500.5,0,1,54.964,0.458904064522154
"0103007C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.931,-1.50041666211121
"0103009C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,33,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,37.67,NA,"$5,000 TO $5,000",5000,1,1,40.93,-0.985802869622361
"0103015C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,31,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,NA,NA,"$5,001 TO $10,000",7500.5,1,0,38.443,-1.24182297402719
"0103016C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,31,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,34.95,NA,"$5,000 TO $5,000",5000,1,NA,64.96,1.48792576280551
"0103018C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,41,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,38.18,NA,"$40,001 TO $50,000",45000.5,0,0,28.304,-2.28556557095546
"0103019C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,41,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,NA,NA,"$20,001 TO $25,000",22500.5,1,1,31.926,-1.91270476751585
"0103021C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,27,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,38.18,NA,"$10,001 TO $15,000",12500.5,1,0,53.067,0.263620534945971
"0104001C",1,"ASIAN",0,0,0,1,1,39,38,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,38.18,"$20,001 TO $25,000",22500.5,0,0,63.561,1.34390802011859
"0104002C",1,"ASIAN",0,0,0,1,1,42,43,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,53.5,48.69,"$75,001 TO $100,000",87500.5,0,0,60.598,1.03888688246217
"0104003C",1,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,NA,NA,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,38.18,64.89,"$75,001 TO $100,000",87500.5,0,0,60.517,1.03054847134163
"0104006C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,36,36,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,35.78,53.5,"$100,001 TO $200,000",150000.5,0,0,60.709,1.05031359399773
"0104007C",1,"NOT ASCERTAINED",0,0,0,0,1,46,46,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,53.5,35.92,"$25,001 TO $30,000",27500.5,0,0,51.417,0.0937640121200881
"0104008C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,34,38,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,52.54,"$20,001 TO $25,000",22500.5,0,0,42.795,-0.793813527155529
"0104009C",1,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,28,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,38.18,NA,"$50,001 TO $75,000",62500.5,0,0,35.681,-1.52615249890301
"0104010C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,31,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,48.69,NA,"$50,001 TO $75,000",62500.5,0,0,50.635,0.0132623146353356
"0104012C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,47,47,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,NA,39.2,"$35,001 TO $40,000",37500.5,0,0,57.279,0.697217913214227
"0104019C",1,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,NA,37,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,38.18,64.89,"$75,001 TO $100,000",87500.5,0,0,48.369,-0.220007310045544
"0104025C",1,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,38,48,"HIGH SCHOOL DIPLOMA/EQUIVALENT","9TH - 12TH GRADE",1,1,NA,39.18,"$30,001 TO $35,000",32500.5,0,0,53.107,0.267738268832659
"0104027C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.76,1.15850705187046
"0105006C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.451,-1.44688612158426
"0105014C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.116,-1.89314553155408
"0105017C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,35,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,34.95,NA,"$5,001 TO $10,000",7500.5,1,1,25.822,-2.54107095862445
